"Item Name","Count","Quality Issue","Quantity Issue","Taste Issue","Packaging Issue","Delivery Timing Issue","Price Issue","Cooking Issue","Freshness Issue","Staleness Issue","Hardness Issue","Spice Issue","Temperature Issue","Wrong Food Issue","Hygiene Issue","Missing Food Issue","Oiliness Issue","Out of Stock Issue","Foreign Object Issue","Top Issues"
"Add Cheese Wiz",2,0,0,0,0,0,0,50,0,0,0,0,0,0,0,100,0,0,0,"missing_food_issue, cooking_issue"
"Side of Fries",23,1000,300,800,0,500,200,50,0,0,100,50,0,200,0,200,0,0,0,"quality_issue, taste_issue, delivery_timing_issue, quantity_issue, price_issue, wrong_food_issue, missing_food_issue, hardness_issue, cooking_issue, spice_issue"
"The Philly ",19,1150,400,550,100,400,300,150,150,200,100,0,300,100,0,200,0,0,0,"quality_issue, taste_issue, quantity_issue, delivery_timing_issue, price_issue, temperature_issue, staleness_issue, missing_food_issue, cooking_issue, freshness_issue, packaging_issue, hardness_issue, wrong_food_issue"
"The Philly Po(@single_quotes@) Boy",9,500,0,500,0,100,0,100,0,100,100,0,0,100,0,0,0,0,0,"quality_issue, taste_issue, delivery_timing_issue, cooking_issue, staleness_issue, hardness_issue, wrong_food_issue"
"The Frito Bandito",3,200,0,200,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,"quality_issue, taste_issue, price_issue, staleness_issue"
"BYO Cheesesteak",9,450,300,350,0,200,300,0,0,0,0,0,0,200,0,0,0,0,0,"quality_issue, taste_issue, quantity_issue, price_issue, delivery_timing_issue, wrong_food_issue"
"Provolone Cheese",2,100,100,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,"quality_issue, quantity_issue, delivery_timing_issue, price_issue"
"Only Me Combo",7,250,100,200,0,200,0,0,0,0,100,0,0,100,0,200,0,0,0,"quality_issue, taste_issue, delivery_timing_issue, missing_food_issue, quantity_issue, hardness_issue, wrong_food_issue"
"Sprite",4,100,0,200,0,100,100,0,0,0,0,0,0,100,0,0,0,0,0,"taste_issue, quality_issue, delivery_timing_issue, price_issue, wrong_food_issue"
"Brownie",3,200,100,200,0,100,100,100,100,0,0,0,0,0,0,100,0,0,0,"quality_issue, taste_issue, quantity_issue, delivery_timing_issue, price_issue, cooking_issue, freshness_issue, missing_food_issue"
"Side of Cheese Sauce",8,300,200,170,0,100,200,0,0,0,0,30,0,200,100,100,0,0,100,"quality_issue, quantity_issue, price_issue, wrong_food_issue, taste_issue, delivery_timing_issue, hygiene_issue, missing_food_issue, foreign_object_issue, spice_issue"
"Remove Grilled Onions",2,200,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,"quality_issue, quantity_issue, cooking_issue"
