"Outlet ID","Quality Issue","Quantity Issue","Taste Issue","Packaging Issue","Delivery Timing Issue","Price Issue","Cooking Issue","Freshness Issue","Staleness Issue","Hardness Issue","Spice Issue","Temperature Issue","Wrong Food Issue","Hygiene Issue","Missing Food Issue","Oiliness Issue","Out of Stock Issue","Foreign Object Issue","Top Issues"
"P0011",100,0,100,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,"quality_issue, taste_issue, staleness_issue, missing_food_issue"
"P0041",400,100,100,0,400,100,150,0,0,0,0,0,200,0,100,0,0,0,"quality_issue, delivery_timing_issue, wrong_food_issue, cooking_issue, quantity_issue, taste_issue, price_issue, missing_food_issue"
"P0051",650,200,600,0,100,100,100,100,100,0,0,100,0,100,0,0,0,100,"quality_issue, taste_issue, quantity_issue, delivery_timing_issue, price_issue, cooking_issue, freshness_issue, staleness_issue, temperature_issue, hygiene_issue, foreign_object_issue"
"P0061",250,100,150,0,0,0,100,0,0,100,0,0,0,0,100,0,0,0,"quality_issue, taste_issue, quantity_issue, cooking_issue, hardness_issue, missing_food_issue"
"P0071",0,100,0,100,100,100,0,0,0,0,0,0,100,0,0,0,0,0,"quantity_issue, packaging_issue, delivery_timing_issue, price_issue, wrong_food_issue"
"P0081",300,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,"quality_issue, taste_issue, hardness_issue, foreign_object_issue"
"P0101",250,100,150,0,0,100,0,50,100,0,0,0,100,0,0,0,0,0,"quality_issue, taste_issue, quantity_issue, price_issue, staleness_issue, wrong_food_issue, freshness_issue"
"P0111",100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"quality_issue, taste_issue"
"P0141",100,100,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,"quality_issue, quantity_issue, price_issue, wrong_food_issue"
"P0132",0,0,50,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,"taste_issue, spice_issue"
"P0082",100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,"quality_issue, wrong_food_issue"
"P0181",400,400,200,0,100,200,0,0,0,0,0,0,400,100,200,0,0,100,"quality_issue, quantity_issue, wrong_food_issue, taste_issue, price_issue, missing_food_issue, delivery_timing_issue, hygiene_issue, foreign_object_issue"
"P0182",300,200,250,0,0,200,150,0,0,50,0,0,0,0,0,0,0,0,"quality_issue, taste_issue, quantity_issue, price_issue, cooking_issue, hardness_issue"
"P0202",200,200,170,0,100,200,100,0,0,0,0,0,0,0,0,0,0,0,"quality_issue, quantity_issue, price_issue, taste_issue, delivery_timing_issue, cooking_issue"
"P0203",0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,"quantity_issue, missing_food_issue"
"P0271",700,600,420,0,0,400,200,0,0,0,30,0,300,0,100,0,0,0,"quality_issue, quantity_issue, taste_issue, price_issue, wrong_food_issue, cooking_issue, missing_food_issue, spice_issue"
"P0142",100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"quality_issue, quantity_issue"
"P0131",200,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,"quality_issue, temperature_issue, wrong_food_issue"
"P0031",0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,"delivery_timing_issue, hardness_issue, missing_food_issue"
"P0201",100,0,50,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,"quality_issue, price_issue, foreign_object_issue, taste_issue"
"P0152",100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,"quality_issue, price_issue"
