"Outlet ID","Issue Items","Quality Issue","Quantity Issue","Taste Issue","Packaging Issue","Delivery Timing Issue","Price Issue","Cooking Issue","Freshness Issue","Staleness Issue","Hardness Issue","Spice Issue","Temperature Issue","Wrong Food Issue","Hygiene Issue","Missing Food Issue","Oiliness Issue","Out of Stock Issue","Foreign Object Issue","Top Issues"
"P0011","Add Cheese Wiz, Side of Fries, The Philly , The Philly Po(@single_quotes@) Boy, The Frito Bandito",100,0,100,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,"quality_issue, taste_issue, staleness_issue, missing_food_issue"
"P0041","BYO Cheesesteak, Side of Fries, Provolone Cheese, Only Me Combo, Add Cheese Wiz, The Philly , Sprite, Brownie, Side of Cheese Sauce, Remove Grilled Onions, Side of Onion Rings, Add Extra Cheese, Frings (half fries, half onion rings), Coca-Cola",400,100,100,0,400,100,150,0,0,0,0,0,200,0,100,0,0,0,"quality_issue, delivery_timing_issue, wrong_food_issue, cooking_issue, quantity_issue, taste_issue, price_issue, missing_food_issue"
"P0051","Only Me Combo, The Philly, Side of Fries, Me and a Friend Combo, Side of Mac n(@single_quotes@) Cheese Wedges, BYO Cheesesteak, Cookie, Side of Onion Rings, Sprite, The Philly Po(@single_quotes@) Boy, The Philly , Remove Grilled Onions, Side of Ketchup, The Frito Bandito, Coca-Cola, The Cheesehead, Side of Ranch",650,200,600,0,100,100,100,100,100,0,0,100,0,100,0,0,0,100,"quality_issue, taste_issue, quantity_issue, delivery_timing_issue, price_issue, cooking_issue, freshness_issue, staleness_issue, temperature_issue, hygiene_issue, foreign_object_issue"
"P0061","Sprite, The Cheesehead, Side of Fries, Brownie, Only Me Combo, Remove Pickle, The Philly Po(@single_quotes@) Boy, Me and a Friend Combo, Daddy Party Combo, BYO Cheesesteak, Side of Onion Rings, The Pizza Steak",250,100,150,0,0,0,100,0,0,100,0,0,0,0,100,0,0,0,"quality_issue, taste_issue, quantity_issue, cooking_issue, hardness_issue, missing_food_issue"
"P0071","The Philly, The Cheesehead, Side of Fries, Side of Mac n(@single_quotes@) Cheese Wedges, Me and a Friend Combo, Remove Sauerkraut, The Philly ",0,100,0,100,100,100,0,0,0,0,0,0,100,0,0,0,0,0,"quantity_issue, packaging_issue, delivery_timing_issue, price_issue, wrong_food_issue"
"P0081","Remove Lettuce, Side of Fries, The Frito Bandito, Add Extra white American cheese, The Philly , Coca-Cola, The Cheesehead",300,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,"quality_issue, taste_issue, hardness_issue, foreign_object_issue"
"P0101","The Philly , Side of Mac n(@single_quotes@) Cheese Wedges, Remove white American cheese, Coca-Cola, Side of Onion Rings, The Philly Po(@single_quotes@) Boy, Remove Pickle, Side of Ranch",250,100,150,0,0,100,0,50,100,0,0,0,100,0,0,0,0,0,"quality_issue, taste_issue, quantity_issue, price_issue, staleness_issue, wrong_food_issue, freshness_issue"
"P0111","Side of Fries, The Philly Po(@single_quotes@) Boy, Only Me Combo, Side of Onion Rings, The Pizza Steak, BYO Cheesesteak, Grilled Onion",100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"quality_issue, taste_issue"
"P0141","BYO Cheesesteak, Me and a Friend Combo, Side of Fries, Side of Onion Rings, The Cheesehead, Remove Sauerkraut",100,100,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,"quality_issue, quantity_issue, price_issue, wrong_food_issue"
"P0132","The Mac n(@single_quotes@) Meatball, Side of Fries, Pop(@single_quotes@)s Combo",0,0,50,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,"taste_issue, spice_issue"
